Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
34.2625,-118.843,354.6,1.0,1.0,301.7,68.0,D,2,2019-10-30 21:00:00,0.1,14.960139999999999,1
34.2641,-118.8322,321.9,1.0,1.0,298.2,13.9,D,0,2019-10-30 21:00:00,0.1,14.960139999999999,0
34.2714,-118.8449,349.5,1.0,1.0,298.7,56.1,D,2,2019-10-30 21:00:00,0.1,14.960139999999999,1
34.2731,-118.8164,316.9,3.2,1.7,294.2,65.4,D,0,2019-10-30 19:00:00,0.1,13.579203999999999,1
34.2746,-118.8233,327.1,1.0,1.0,300.1,19.4,D,0,2019-10-30 21:00:00,0.1,14.960139999999999,1
34.2762,-118.8126,332.7,1.0,1.0,300.6,26.8,D,2,2019-10-30 21:00:00,0.1,14.960139999999999,1
34.2777,-119.1304,319.9,1.3,1.1,305.0,14.4,D,2,2019-11-01 21:00:00,0.1,3.3372619999999995,1
34.2781,-119.1223,326.9,1.3,1.1,306.4,23.8,D,2,2019-11-01 21:00:00,0.1,3.3372619999999995,1
34.2802,-119.1161,324.6,1.3,1.1,307.4,21.6,D,0,2019-11-01 21:00:00,0.1,3.3372619999999995,1
34.2808,-118.8491,311.8,3.2,1.7,292.8,42.5,D,2,2019-10-30 19:00:00,0.1,13.579203999999999,0
34.282,-119.1113,335.6,1.9,1.4,305.2,76.7,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.2836,-119.1089,323.8,2.0,1.4,285.2,68.3,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.2856,-119.1047,329.0,1.9,1.4,306.2,51.7,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.286,-119.1309,324.1,1.9,1.4,301.8,38.0,D,2,2019-11-01 19:00:00,0.1,3.107106,1
34.2878,-119.0838,335.7,1.0,1.0,288.7,38.9,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.2882,-119.0869,355.9,2.0,1.4,292.1,220.0,N,0,2019-11-01 06:00:00,0.1,7.134836,1
34.2893,-119.0947,350.6,1.0,1.0,290.7,66.6,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.2897,-119.1239,336.1,1.9,1.4,303.1,77.4,D,0,2019-11-01 19:00:00,0.1,3.107106,1
34.2909,-119.1055,380.5,1.0,1.0,294.6,160.4,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
34.2924,-119.1165,342.2,1.0,1.0,282.5,51.0,N,0,2019-11-01 10:00:00,0.1,10.011785999999999,1
