Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
34.3965,-118.4681,340.5,1.0,1.0,324.7,17.5,D,0,2017-06-25 21:00:00,0.1,0.230156,64
34.3984,-119.195,313.6,1.5,1.2,283.1,21.2,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,10
34.3995,-119.4531,334.3,2.6,1.6,270.6,140.8,N,0,2017-12-10 09:00:00,0.1,0.920624,100
34.4001,-119.1964,343.4,1.6,1.2,295.0,78.6,D,0,2017-12-05 18:00:00,0.1,0.690468,86
34.4018,-119.483,315.9,2.6,1.6,270.0,57.9,N,0,2017-12-10 09:00:00,0.1,0.920624,22
34.4018,-119.2137,378.2,1.6,1.3,303.2,269.2,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4018,-119.1624,358.7,1.5,1.2,287.2,148.1,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.4027,-119.2462,346.1,2.4,1.5,293.4,153.6,D,0,2017-12-05 22:00:00,0.1,0.690468,70
34.4035,-119.2305,382.6,1.6,1.3,307.8,310.9,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4047,-119.2211,375.6,2.4,1.5,300.6,447.8,D,0,2017-12-05 22:00:00,0.1,0.690468,100
34.4051,-119.4741,332.3,2.6,1.6,271.5,114.0,N,0,2017-12-10 09:00:00,0.1,0.920624,83
34.4054,-119.2488,391.7,1.6,1.3,301.3,405.9,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4056,-119.1526,426.7,1.5,1.2,298.4,827.2,N,0,2017-12-05 06:00:00,0.1,2.6467939999999994,100
34.4068,-119.484,335.6,1.0,1.0,295.1,30.6,D,0,2017-12-11 21:00:00,0.1,1.841248,88
34.4104,-119.5081,323.1,1.8,1.3,283.7,51.4,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4122,-119.4896,331.6,1.8,1.3,288.3,76.5,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4124,-119.2255,360.2,2.4,1.5,301.0,283.5,D,0,2017-12-05 22:00:00,0.1,0.690468,97
34.4131,-119.2121,369.6,1.6,1.3,294.1,214.6,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4141,-119.4971,363.7,1.0,1.0,305.2,93.5,D,0,2017-12-11 21:00:00,0.1,1.841248,100
34.4141,-119.4684,306.7,1.1,1.0,283.6,8.4,N,0,2017-12-11 10:00:00,0.1,0.920624,65
34.4142,-119.2015,371.0,2.4,1.5,297.3,398.2,D,0,2017-12-05 22:00:00,0.1,0.690468,100
34.4147,-119.4764,311.8,4.2,1.9,284.7,100.7,N,0,2017-12-12 09:00:00,0.1,0.230156,76
34.415,-119.2309,390.0,1.6,1.3,294.6,387.5,D,0,2017-12-05 18:00:00,0.1,0.690468,100
34.4154,-119.4856,331.5,2.9,1.6,295.6,111.9,D,0,2017-12-11 19:00:00,0.1,0.920624,87
34.4157,-119.48,338.9,2.6,1.6,270.2,163.7,N,0,2017-12-10 09:00:00,0.1,0.920624,100
34.416,-119.4798,376.1,1.1,1.0,297.6,153.1,N,0,2017-12-11 10:00:00,0.1,0.920624,100
34.4161,-119.1758,381.9,2.4,1.5,296.5,546.0,D,0,2017-12-05 22:00:00,0.1,0.690468,100
34.4163,-119.2448,351.1,2.4,1.5,296.7,205.6,D,0,2017-12-05 22:00:00,0.1,0.690468,72
34.417,-119.5251,306.7,4.3,1.9,283.1,70.5,N,0,2017-12-12 09:00:00,0.1,0.230156,36
34.4172,-119.5162,340.8,1.8,1.3,291.8,107.6,N,0,2017-12-12 06:00:00,0.1,2.416638,100
34.4172,-119.4946,326.0,1.4,1.2,298.0,29.3,D,0,2017-12-12 19:00:00,0.1,1.15078,37
34.4175,-119.492,344.6,1.4,1.2,290.4,86.0,N,0,2017-12-11 06:00:00,0.1,2.416638,100
34.4175,-119.1763,329.1,2.6,1.5,287.3,107.6,N,0,2017-12-06 05:00:00,0.1,0.920624,80
34.4177,-119.4805,328.8,2.9,1.6,296.3,96.5,D,0,2017-12-11 19:00:00,0.1,0.920624,85
34.4178,-119.4912,395.6,1.1,1.0,300.8,251.7,N,0,2017-12-11 10:00:00,0.1,0.920624,100
