Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
38.487,-121.8425,367.9,1.0,1.0,312.8,102.5,D,0,158.0,Degrees Compass,0.1,1
38.4758,-121.8469,332.0,2.9,1.6,307.1,102.5,D,0,4.2,Knots,0.1,1
38.4758,-121.8469,332.0,2.9,1.6,307.1,102.5,D,0,166.0,Degrees Compass,0.1,1
39.1499,-121.5855,306.9,1.1,1.0,296.8,7.8,N,2,1.4,Knots,0.1,1
39.1499,-121.5855,306.9,1.1,1.0,296.8,7.8,N,2,183.0,Degrees Compass,0.1,1
38.4878,-121.8449,395.2,1.2,1.1,314.5,272.5,D,0,6.9,Knots,0.1,1
38.4878,-121.8449,395.2,1.2,1.1,314.5,272.5,D,0,175.0,Degrees Compass,0.1,1
38.4784,-121.8475,370.4,1.2,1.1,310.1,136.0,D,0,6.9,Knots,0.1,1
38.4784,-121.8475,370.4,1.2,1.1,310.1,136.0,D,0,175.0,Degrees Compass,0.1,1
38.4852,-121.84,338.0,1.9,1.3,305.7,73.8,D,0,4.9,Knots,0.1,1
38.4852,-121.84,338.0,1.9,1.3,305.7,73.8,D,0,177.0,Degrees Compass,0.1,1
39.3362,-121.6917,330.6,1.0,1.0,308.7,18.1,D,0,3.7,Knots,0.1,1
39.3362,-121.6917,330.6,1.0,1.0,308.7,18.1,D,0,151.0,Degrees Compass,0.1,1
38.4901,-121.8445,327.8,1.0,1.0,312.0,14.6,D,0,7.8,Knots,0.1,1
38.4901,-121.8445,327.8,1.0,1.0,312.0,14.6,D,0,177.0,Degrees Compass,0.1,1
38.4814,-121.8273,320.1,2.6,1.5,302.5,40.1,D,0,7.6,Knots,0.1,1
38.4814,-121.8273,320.1,2.6,1.5,302.5,40.1,D,0,172.0,Degrees Compass,0.1,1
38.4885,-121.8313,324.0,2.6,1.5,302.3,53.4,D,0,7.6,Knots,0.1,1
38.4885,-121.8313,324.0,2.6,1.5,302.3,53.4,D,0,172.0,Degrees Compass,0.1,1
38.4844,-121.8393,324.0,1.0,1.0,308.8,8.8,D,0,6.2,Knots,0.1,0
38.4844,-121.8393,324.0,1.0,1.0,308.8,8.8,D,0,144.0,Degrees Compass,0.1,0
38.4913,-121.8441,349.5,1.2,1.1,308.3,64.5,D,0,8.8,Knots,0.1,1
38.4913,-121.8441,349.5,1.2,1.1,308.3,64.5,D,0,172.0,Degrees Compass,0.1,1
38.4817,-121.8459,325.5,1.2,1.1,308.3,17.8,D,0,8.8,Knots,0.1,1
38.4817,-121.8459,325.5,1.2,1.1,308.3,17.8,D,0,172.0,Degrees Compass,0.1,1
39.2023,-121.9842,334.4,1.1,1.1,306.5,29.3,D,0,0.8,Knots,0.1,1
39.2023,-121.9842,334.4,1.1,1.1,306.5,29.3,D,0,180.0,Degrees Compass,0.1,1
38.4884,-121.8499,328.0,1.2,1.1,311.3,19.8,D,0,3.6,Knots,0.1,1
38.4884,-121.8499,328.0,1.2,1.1,311.3,19.8,D,0,214.0,Degrees Compass,0.1,1
39.197,-121.9937,330.6,1.3,1.1,310.3,22.1,D,2,0.6,Knots,0.1,0
39.197,-121.9937,330.6,1.3,1.1,310.3,22.1,D,2,15.0,Degrees Compass,0.1,0
38.4807,-121.8438,323.9,1.0,1.0,312.2,9.4,D,0,5.7,Knots,0.1,0
38.4807,-121.8438,323.9,1.0,1.0,312.2,9.4,D,0,195.0,Degrees Compass,0.1,0
38.4897,-121.8419,324.4,1.0,1.0,311.7,10.0,D,0,5.7,Knots,0.1,0
38.4897,-121.8419,324.4,1.0,1.0,311.7,10.0,D,0,195.0,Degrees Compass,0.1,0
38.4842,-121.8402,316.0,2.6,1.5,300.9,31.0,D,0,7.1,Knots,0.1,1
38.4842,-121.8402,316.0,2.6,1.5,300.9,31.0,D,0,173.0,Degrees Compass,0.1,1
38.4842,-121.8455,323.7,1.5,1.2,308.4,20.9,D,0,7.9,Knots,0.1,1
38.4842,-121.8455,323.7,1.5,1.2,308.4,20.9,D,0,178.0,Degrees Compass,0.1,1
38.4924,-121.8381,314.7,2.6,1.6,295.8,26.5,D,0,6.4,Knots,0.1,0
38.4924,-121.8381,314.7,2.6,1.6,295.8,26.5,D,0,184.0,Degrees Compass,0.1,0
38.4915,-121.8453,326.3,1.0,1.0,309.6,14.6,D,0,4.9,Knots,0.1,1
